id,address
1,"12 N Main St Apt 4B, Springfield, IL 62704, USA"
2,
3,"845 Oak Avenue, Portland, OR 97205"
4,"58 Bay St, Toronto"
5,"905 Granville St Unit 1402, Vancouver, BC V6Z1L3"
6,"P.O. Box 77, Halifax, NS B3J 2K9"
7,"3100 Lakeview Dr Suite 200, Austin, TX 78701-2243"
8,"18 Harbor Rd Ste 5, Madison, WI 53703"
9,"Corner of Main St and 2nd Ave, Springfield, IL"
10,"31 Park Row, Leeds LS1 5JL, UK"
11,"1509 Pine St Unit 3, Seattle, WA 98101, United States"
12,"742 Maple Terrace, Springfield"
13,"77 Pine Road, Toronto ON M5V 2T6"
14,88 Elm St Springfield MA 01103
15,12 Main St West Springfield MA 01089
16,"400 W Madison Blvd Fl 9, Chicago, Illinois 60606"
17,"PO Box 482, Springfield, IL 62705"
18,"1600 Grand Ave NW, Washington, DC 20001"
19,"1200 Rue Sainte-Catherine O, Montréal, QC H3B 1K9, Canada"
20,"Suite 400, 88 Harbor Blvd, Long Beach, CA 90802"
21,"16 Rue du Port, Québec, QC G1K 4E3"
22,"77 Cedar Ln #12, Denver, CO 80202"
23,350 Fifth Ave New York NY 10118
24,see notes
25,n/a
26,"22B Elm Ave, Boston, MA 02108"
27,"2211 N Clark St Apt 3R, Chicago, IL 60614"
28,"Flat 3, 22 Queen Street, Cardiff CF10 2BU, United Kingdom"
29,"10 High Street, Bristol BS1 4DJ"
30,"5 Mill Lane, Ashford, Kent TN24 8AA"
31,"Main Street, Springfield"
32,45 Kingsway Burnaby
