id,address
1,350 Fifth Ave New York NY 10118
2,"37-02 Main St, Flushing, NY 11354"
3,"Suite 400, 88 Harbor Blvd, Long Beach, CA 90802"
4,"77 Pine Road, Toronto ON M5V 2T6"
5,"2211 N Clark St Apt 3R, Chicago, IL 60614"
6,"P.O. Box 77, Halifax, NS B3J 2K9"
7,"1600 Grand Ave NW, Washington, DC 20001"
8,"12 1/2 Oak St, Ithaca, NY 14850"
9,"221 E 42nd St, New York, NY 10017"
10,"12 N Main St Apt 4B, Springfield, IL 62704, USA"
11,12 Main St West Springfield MA 01089
12,"4500 US Highway 1, Princeton, NJ 08540"
13,"77 Cedar Ln #12, Denver, CO 80202"
14,"Flat 3, 22 Queen Street, Cardiff CF10 2BU, United Kingdom"
15,"PO Box 482, Springfield, IL 62705"
16,"5 Mill Lane, Ashford, Kent TN24 8AA"
17,"18 Harbor Rd Ste 5, Madison, WI 53703"
18,"1188 Avenue of the Americas, New York, NY 10036"
19,"742 Maple Terrace, Springfield"
20,"Unit 3, 15 Water St, Halifax, NS B3H 1A1"
21,"905 Granville St Unit 1402, Vancouver, BC V6Z1L3"
22,"3100 Lakeview Dr Suite 200, Austin, TX 78701-2243"
23,
24,"Apartment 4, 7 Mill Lane, Ashford TN24 8AA"
25,n/a
26,"400 W Madison Blvd Fl 9, Chicago, Illinois 60606"
27,"Rose Cottage, 5 Church Lane, Ashford TN23 1AB"
28,"22B Elm Ave, Boston, MA 02108"
29,"501 W 5th St Apt. 2, Austin, TX 78701"
30,"9 Birch Rd Unit #5, Burlington, VT 05401"
31,"10 High Street, Bristol BS1 4DJ"
32,"1200 Rue Sainte-Catherine O, Montréal, QC H3B 1K9, Canada"
33,"16 Rue du Port, Québec, QC G1K 4E3"
34,"12-345 King St W, Toronto, ON M5V 1K4"
35,88 Elm St Springfield MA 01103
36,"400 W Madison St, Floor 9, Chicago, IL 60606"
37,"Post Office Box 12, Bangor, ME 04402"
38,"845 Oak Avenue, Portland, OR 97205"
39,2211 N Clark St Apt 3R Chicago IL 60614
40,see notes
41,"31 Park Row, Leeds LS1 5JL, UK"
42,"Main Street, Springfield"
43,"1509 Pine St, Seattle, WA"
44,"58 Bay St, Toronto"
45,"1500 Boul René-Lévesque O, Montréal, QC H3G 1T7"
46,"Corner of Main St and 2nd Ave, Springfield, IL"
47,"77 Cedar Ln, Denver, CO 80202 / 80 Cedar Ln, Denver, CO 80202"
48,"1509 Pine St Unit 3, Seattle, WA 98101, United States"
