name,phone,email,website
ACME CORPORATION,(312) 555-0199,A@Example.COM,ACME.example.com
"  mcdouglas & sons, inc.  ",217-555-0100 ext 42,Mailto:Sales@McDouglas.example,mcdouglas.example/
LAPOINTE CONSULTING LLC,+1 217 555 0111,info@lapointe.example,https://www.lapointe.example/Services/
AA CAREERS,2175550122,jobs@aa-careers.example,aa-careers.example
ABC Consulting Inc.,(217) 555-0133,hello@abc.example,https://abc.example
ABC PARTNERS LLC,(217) 555-0134,partners@abc.example,https://abc-partners.example
Beta   Industries ,312 555 0144,bad@,not a website
MÜLLER GMBH,+49 30 123456,kontakt@mueller.example,mueller.example
l-e industries,(217) 555-0155,LE@le.example,LE.example
O'BRIEN PLUMBING,217-555-0166,mike@obrien.example,obrien.example
de la cruz bakery,217-555-0177,orders@delacruz.example,delacruz.example
Acme Spa,12345,contact@acmespa.example,acmespa.example
JOHNSON & JOHNSON,(217) 555-0188,jj@example.org,https://example.org/
3M COMPANY,(217) 555-0199,3m@example.org,https://3m.example.org
